2015-07-22 01:13:37.1966	2015/07/22 01:13:35	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:13:41.3379	2015/07/22 01:13:39	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:13:45.4811	2015/07/22 01:13:43	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:15:36.4965	2	2015/07/22 01:15:34	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:15:43.0948	1	2015/07/22 01:15:41	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:15:49.7012	1	2015/07/22 01:15:47	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:15:50.7573	1	2015/07/22 01:15:48	BMS#4	0x02	Error Cancel	0
2015-07-22 01:24:04.4335	1	2015/07/22 01:24:02	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:24:05.8196	1	2015/07/22 01:24:03	BMS#4	0x02	Error Cancel	0
2015-07-22 01:24:09.5308	1	2015/07/22 01:24:07	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:24:09.9948	1	2015/07/22 01:24:08	BMS#4	0x02	Error Cancel	0
2015-07-22 01:24:13.7071	1	2015/07/22 01:24:11	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:28:59.9354	1	2015/07/22 01:28:57	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:29:01.3215	1	2015/07/22 01:28:59	BMS#4	0x02	Error Cancel	0
2015-07-22 01:29:04.5707	1	2015/07/22 01:29:02	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:29:05.0337	1	2015/07/22 01:29:03	BMS#4	0x02	Error Cancel	0
2015-07-22 01:29:15.2393	1	2015/07/22 01:29:13	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:29:15.7013	1	2015/07/22 01:29:13	BMS#4	0x02	Error Cancel	0
2015-07-22 01:29:19.4135	2	2015/07/22 01:29:17	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:29:19.8786	1	2015/07/22 01:29:17	BMS#4	0x02	Error Cancel	0
2015-07-22 01:29:26.3729	1	2015/07/22 01:29:24	BMS#4	0x02	Contact2 Error	1
2015-07-22 01:29:26.8370	1	2015/07/22 01:29:24	BMS#4	0x02	Error Cancel	0
